entity,packet_id,accession,amount_usd,ai_linked,instrument_offering,classification,expected_behavior,source_uri,quote_excerpt
IREN Ltd,adjudication:ade7bf278106618e,000114036125037488,1000000000,direct/watchlist,IREN:Notes_2031,distinct_facility,representative of IREN:Notes_2031 -> KEEP,https://www.sec.gov/Archives/edgar/data/1878848/000114036125037488/ef20056749_ex99-1.htm,tes due 2031 (the “notes”) in a private offering to persons reasonably beli
TERAWULF INC.,adjudication:b0d5b8ac926d6a5d,000110465926044031,3200000000,direct/watchlist,TERAWULF:WULFCompute_3.2B,distinct_facility,representative of TERAWULF:WULFCompute_3.2B -> KEEP,https://www.sec.gov/Archives/edgar/data/1083301/000110465926044031/tm2611661-8_424b5.htm,expect first quarter 2026 revenue to be between $30 million and $35 million
TERAWULF INC.,adjudication:5e4fc762edefeb1c,000110465926043279,3200000000,direct/watchlist,TERAWULF:WULFCompute_3.2B,same_event,repeat of TERAWULF:WULFCompute_3.2B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1083301/000110465926043279/tm2611661d4_ex99-1.htm,The Facility is expected to enhance liquidity and support working capital. 
TERAWULF INC.,adjudication:c1e8b92c53dfebe2,000110465926043376,3200000000,direct/watchlist,TERAWULF:WULFCompute_3.2B,same_event,repeat of TERAWULF:WULFCompute_3.2B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1083301/000110465926043376/tm2611661-6_424b5.htm,plement relating to the subordinated debt securities. Debt securities will 
TERAWULF INC.,adjudication:1fb7f54cc47290c0,000110465925100142,3200000000,direct/watchlist,TERAWULF:WULFCompute_3.2B,same_event,repeat of TERAWULF:WULFCompute_3.2B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1083301/000110465925100142/tm2528904d1_8k.htm,"On October 16, 2025, TeraWulf Inc. (“TeraWulf” or the “Company”) issued a p"
TERAWULF INC.,adjudication:2c8244f661d0cec8,000110465925101866,3200000000,direct/watchlist,TERAWULF:WULFCompute_3.2B,same_event,repeat of TERAWULF:WULFCompute_3.2B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1083301/000110465925101866/tm2529300d1_ex4-1.htm,7.750% SENIOR SECURED NOTES DUE 2030 _____________________________ INDENTUR
TERAWULF INC.,adjudication:d8f4700d4c9b3f70,000110465925122293,1360000000,direct/watchlist,TERAWULF:FlashCompute_1.3B,distinct_facility,representative of TERAWULF:FlashCompute_1.3B -> KEEP,https://www.sec.gov/Archives/edgar/data/1083301/000110465925122293/tm2533501d1_ex99d1.htm,rst 6 years of the DC Lease term have passed or (ii) the premises only has 
TERAWULF INC.,adjudication:be855fedfa6ab9fd,000110465925124839,1300000000,direct/watchlist,TERAWULF:FlashCompute_1.3B,same_event,repeat of TERAWULF:FlashCompute_1.3B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1083301/000110465925124839/tm2534384d1_ex4-1.htm,EX-4.1 2 tm2534384d1_ex4-1.htm EXHIBIT 4.1 Exhibit 4.1 Execution Version FL
TERAWULF INC.,adjudication:026dbe0b80f992f7,000110465925122293,1275000000,direct/watchlist,TERAWULF:FlashCompute_1.3B,same_event,repeat of TERAWULF:FlashCompute_1.3B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1083301/000110465925122293/tm2533501d1_8k.htm,"Other Events. On December 18, 2025, the Company announced the intention of "
TERAWULF INC.,adjudication:507ac15f15e1a75e,000110465925122387,1275000000,direct/watchlist,TERAWULF:FlashCompute_1.3B,same_event,repeat of TERAWULF:FlashCompute_1.3B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1083301/000110465925122387/tm2533871d1_ex99-1.htm,"pacity In the event the FS termination fee is paid, the FS termination fee "
TERAWULF INC.,adjudication:d0be76cfa7450fa3,000110465925104928,1025000000,direct/watchlist,TERAWULF:other,distinct_facility,representative of TERAWULF:other -> KEEP,https://www.sec.gov/Archives/edgar/data/1083301/000110465925104928/tm2529894d1_ex99-1.htm,"(Nasdaq: WULF) (“TeraWulf” or the “Company”), a leading owner and operator "
TERAWULF INC.,adjudication:373d1fbef0696836,000110465925081886,1000000000,direct/watchlist,TERAWULF:Private_0.85B,distinct_facility,representative of TERAWULF:Private_0.85B -> KEEP,https://www.sec.gov/Archives/edgar/data/1083301/000110465925081886/tm2523651d6_8k.htm,(the “Company”) issued and sold in a private offering $850 million aggregat
"CLEANSPARK, INC.",adjudication:5fa6183ec0992c6f,000119312525276014,3580000000,direct/watchlist,JUMBO,needs_human_review,amount $3.58B exceeds CLEANSPARK largest-ever offering (~$1.15B) -> mis-bind; exclude or rebind to true instrument,https://www.sec.gov/Archives/edgar/data/827876/000119312525276014/clsk-ex99_1.htm,pricing of its offering of $1.15 billion aggregate principal amount of 0.00
"CLEANSPARK, INC.",adjudication:d08846cb662baa29,000119312525280105,3430000000,direct/watchlist,JUMBO,needs_human_review,amount $3.43B exceeds CLEANSPARK largest-ever offering (~$1.15B) -> mis-bind; exclude or rebind to true instrument,https://www.sec.gov/Archives/edgar/data/827876/000119312525280105/clsk-ex99_1.htm,"(Nasdaq: CLSK), America's Bitcoin Miner® (“CleanSpark” or the “Company”), t"
"CLEANSPARK, INC.",adjudication:588e88952aa51796,000119312525274179,2200000000,direct/watchlist,JUMBO,needs_human_review,amount $2.20B exceeds CLEANSPARK largest-ever offering (~$1.15B) -> mis-bind; exclude or rebind to true instrument,https://www.sec.gov/Archives/edgar/data/827876/000119312525274179/clsk-ex99_1.htm,"at it intends to offer, subject to market conditions and other factors, $1 "
"CLEANSPARK, INC.",adjudication:df46ada27181acf2,000119312525280105,1150000000,direct/watchlist,CLEANSPARK:Conv_1.15B,distinct_facility,representative of CLEANSPARK:Conv_1.15B -> KEEP,https://www.sec.gov/Archives/edgar/data/827876/000119312525280105/clsk-ex4_1.htm,"nking association, as trustee (the “ Trustee ,” as more fully set forth in "
"CLEANSPARK, INC.",adjudication:ba4d6a74f68ac403,000119312525276014,1150000000,direct/watchlist,CLEANSPARK:Conv_1.15B,same_event,repeat of CLEANSPARK:Conv_1.15B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/827876/000119312525276014/clsk-20251110.htm,"Convertible Notes Offering. On November 10, 2025, CleanSpark, Inc. (the “Co"
"CLEANSPARK, INC.",adjudication:85c34bb3b9c407a8,000119312525280105,1130000000,direct/watchlist,CLEANSPARK:Conv_1.15B,same_event,repeat of CLEANSPARK:Conv_1.15B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/827876/000119312525280105/clsk-ex99_1.htm,"ibit 99.1 CleanSpark, Inc. Announces Closing of Upsized $1.15 Billion Zero-"
"CLEANSPARK, INC.",adjudication:b17057b9e83a5c86,000119312525274179,1000000000,direct/watchlist,CLEANSPARK:Conv_1.15B,same_event,repeat of CLEANSPARK:Conv_1.15B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/827876/000119312525274179/clsk-20251110.htm,g with any new or revised financial accounting standards provided pursuant 
Hut 8 Corp.,adjudication:69e20bbd34cdfc7a,000110465926049810,3250000000,direct/watchlist,HUT8:HutDC_3.25B,distinct_facility,representative of HUT8:HutDC_3.25B -> KEEP,https://www.sec.gov/Archives/edgar/data/1964789/000110465926049810/tm2612880d1_ex99-1.htm,EX-99.1 2 tm2612880d1_ex99-1.htm EXHIBIT 99.1 Exhibit 99.1 Hut 8 Announces 
Hut 8 Corp.,adjudication:3d02739138827ef2,000110465926053247,3250000000,direct/watchlist,HUT8:HutDC_3.25B,same_event,repeat of HUT8:HutDC_3.25B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1964789/000110465926053247/tm2613163d1_ex4-1.htm,"on HUT 8 DC LLC, as Issuer 6.192% SENIOR SECURED NOTES DUE 2042 INDENTURE D"
Hut 8 Corp.,adjudication:56f0d72cf813856c,000110465926049090,3248000000,direct/watchlist,HUT8:HutDC_3.25B,same_event,repeat of HUT8:HutDC_3.25B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1964789/000110465926049090/tm2612485d1_8k.htm,"On April 27, 2026, Hut 8 DC LLC (the “Issuer”), an indirect wholly-owned su"
Applied Digital Corp.,adjudication:e13f99c9bce2026a,000149315226008549,4300000000,direct/watchlist,APLD:ComputeCo_2.35B,distinct_facility,representative of APLD:ComputeCo_2.35B -> KEEP,https://www.sec.gov/Archives/edgar/data/1144879/000149315226008549/ex99-2.htm,The Notes will be fully and unconditionally guaranteed by APLD Compute 2’s 
Applied Digital Corp.,adjudication:ddc4e3ae336f90d8,000149315225021400,2350000000,direct/watchlist,APLD:ComputeCo_2.35B,same_event,repeat of APLD:ComputeCo_2.35B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1144879/000149315225021400/ex99-1.htm,"ed that its subsidiary, APLD ComputeCo LLC (“APLD Compute”), intends to off"
Applied Digital Corp.,adjudication:e191d6f7a7e13285,000149315225022506,2350000000,direct/watchlist,APLD:ComputeCo_2.35B,same_event,repeat of APLD:ComputeCo_2.35B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1144879/000149315225022506/ex99-1.htm,"Guaranty Agreement, dated as of February 11, 2025, by and among APLD HPC Ho"
Applied Digital Corp.,adjudication:05898a7dd077b6ca,000149315225024479,2350000000,direct/watchlist,APLD:ComputeCo_2.35B,same_event,repeat of APLD:ComputeCo_2.35B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1144879/000149315225024479/form8-k.htm,easonably believed to be qualified institutional buyers in reliance on Rule
Applied Digital Corp.,adjudication:4716b409c2338c63,000149315226009538,2271000000,direct/watchlist,APLD:ComputeCo2_2.15B,distinct_facility,representative of APLD:ComputeCo2_2.15B -> KEEP,https://www.sec.gov/Archives/edgar/data/1144879/000149315226009538/ex4-1.htm,HOLDINGS LLC AND EACH OF THE SUBSIDIARY GUARANTORS PARTY HERETO 6.75% SENIO
Applied Digital Corp.,adjudication:cf058d4819564c36,000149315226008549,2150000000,direct/watchlist,APLD:ComputeCo2_2.15B,same_event,repeat of APLD:ComputeCo2_2.15B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1144879/000149315226008549/ex99-2.htm,"uilder and operator of high-performance, sustainably engineered data center"
Applied Digital Corp.,adjudication:f1a7d971f76fdbad,000149315226009538,2150000000,direct/watchlist,APLD:ComputeCo2_2.15B,same_event,repeat of APLD:ComputeCo2_2.15B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1144879/000149315226009538/ex4-1.htm,EX-4.1 2 ex4-1.htm EX-4.1 Exhibit 4.1 Execution Version APLD COMPUTECO 2 LL
NEGCTRL:Eaton Corp plc,adjudication:57c25c21f99929c8,000114036126008133,8482965000,not_established,distinct_acquisition_stack,distinct_facility,KEEP -- genuine bridge/term/notes stack (largest != sum-of-rest); guard MUST NOT collapse these,https://www.sec.gov/Archives/edgar/data/1551182/000114036126008133/ny20066192x6_ex107.htm,36 and the 5.450% Notes due 2056 issued by Eaton Corporation. Pursuant to R
NEGCTRL:Eaton Corp plc,adjudication:c0d2375ea76f38d8,000114036126004227,8000000000,not_established,distinct_acquisition_stack,distinct_facility,KEEP -- genuine bridge/term/notes stack (largest != sum-of-rest); guard MUST NOT collapse these,https://www.sec.gov/Archives/edgar/data/1551182/000114036126004227/ef20064951_ex10-2.htm,"nc., a Delaware corporation, for the aggregate consideration set forth ther"
NEGCTRL:Eaton Corp plc,adjudication:6fbcdade2d379e84,000114036126008836,5500000000,not_established,distinct_acquisition_stack,distinct_facility,KEEP -- genuine bridge/term/notes stack (largest != sum-of-rest); guard MUST NOT collapse these,https://www.sec.gov/Archives/edgar/data/1551182/000114036126008836/ef20067414_ex4-2.htm,"The payment of the principal of, premium, if any, and interest on the Notes"
NEGCTRL:Eaton Corp plc,adjudication:e973bbf2292687a8,000114036126004227,4000000000,not_established,distinct_acquisition_stack,distinct_facility,KEEP -- genuine bridge/term/notes stack (largest != sum-of-rest); guard MUST NOT collapse these,https://www.sec.gov/Archives/edgar/data/1551182/000114036126004227/ef20064951_ex10-2.htm,"S, in connection with the Acquisition, the Company intends to (i) obtain a "
NEGCTRL:SIMON PROPERTY GRO,adjudication:e975591e557e3b64,000110465926024152,5000000000,not_established,distinct_acquisition_stack,distinct_facility,KEEP -- genuine bridge/term/notes stack (largest != sum-of-rest); guard MUST NOT collapse these,https://www.sec.gov/Archives/edgar/data/1063761/000110465926024152/tm268081d1_ex99-3.htm,"ets, Wells Fargo Securities, and Mizuho Bank who served as Joint Lead Arran"
NEGCTRL:SIMON PROPERTY GRO,adjudication:63a62ace864cf540,000110465926024152,3500000000,not_established,distinct_acquisition_stack,distinct_facility,KEEP -- genuine bridge/term/notes stack (largest != sum-of-rest); guard MUST NOT collapse these,https://www.sec.gov/Archives/edgar/data/1063761/000110465926024152/tm268081d1_ex99-3.htm,"d by a globally diverse lender group composed of 28 banks, led by JPMorgan "
"NEGCTRL:Venture Global, In",adjudication:2ef4bf630fb5911a,000200785526000040,16461000000,not_established,distinct_acquisition_stack,distinct_facility,KEEP -- genuine bridge/term/notes stack (largest != sum-of-rest); guard MUST NOT collapse these,https://www.sec.gov/Archives/edgar/data/2007855/000200785526000040/exhibit107-q12026.htm,"REMENT, LLC, as Guarantors , THE LENDERS PARTY HERETO FROM TIME TO TIME, as"
"NEGCTRL:Venture Global, In",adjudication:74f31db84ee3241d,000200785526000040,7850000000,not_established,distinct_acquisition_stack,distinct_facility,KEEP -- genuine bridge/term/notes stack (largest != sum-of-rest); guard MUST NOT collapse these,https://www.sec.gov/Archives/edgar/data/2007855/000200785526000040/exhibit107-q12026.htm,isting Credit Facility Agreement and incur additional Indebtedness thereund
"NEGCTRL:Venture Global, In",adjudication:9314d6a243d76c75,000200785525000066,6000000000,not_established,distinct_acquisition_stack,distinct_facility,KEEP -- genuine bridge/term/notes stack (largest != sum-of-rest); guard MUST NOT collapse these,https://www.sec.gov/Archives/edgar/data/2007855/000200785525000066/exhibit101-q32025.htm,"ssued the Notes under an Indenture dated as of April 21, 2025, as supplemen"
"NEGCTRL:Venture Global, In",adjudication:1950291b40bb9fc4,000200785525000066,2809000000,not_established,distinct_acquisition_stack,distinct_facility,KEEP -- genuine bridge/term/notes stack (largest != sum-of-rest); guard MUST NOT collapse these,https://www.sec.gov/Archives/edgar/data/2007855/000200785525000066/exhibit103-q32025.htm,“ Secured Parties ” means a collective reference to the Administrative Agen
