rank_basis,entity,deal_ref,notional_usd,missing,maturity_date,interest_rate_pct,ai_relevant,source_uri,extraction_method,negative_control_flag
coverage_gap,TERAWULF INC.,edgar:0001083301:000110465926043279:debt_facility:562291584866,3200000000,maturity+rate,,,True,https://www.sec.gov/Archives/edgar/data/1083301/000110465926043279/tm2611661d4_ex99-1.htm,424B/FWP prospectus notes table (coupon+maturity per tranche),
coverage_gap,TERAWULF INC.,edgar:0001083301:000110465925100142:bond:aa3543f8ab4b,3200000000,maturity+rate,,,True,https://www.sec.gov/Archives/edgar/data/1083301/000110465925100142/tm2528904d1_ex99-1.htm,EDGAR filing body: locate the notes/indenture maturity+coupon,
coverage_gap,TERAWULF INC.,edgar:0001083301:000110465925099020:bond:989491656535,3200000000,maturity+rate,,,True,https://www.sec.gov/Archives/edgar/data/1083301/000110465925099020/tm2528632d1_ex99-1.htm,EDGAR filing body: locate the notes/indenture maturity+coupon,
coverage_gap,TERAWULF INC.,edgar:0001083301:000110465925100142:bond:9e2d4ae0e974,3200000000,rate,2025-10-23,,True,https://www.sec.gov/Archives/edgar/data/1083301/000110465925100142/tm2528904d1_8k.htm,EDGAR filing body: locate the notes/indenture maturity+coupon,
coverage_gap,TERAWULF INC.,edgar:0001083301:000110465925099020:bond:df9c5c61a127,3200000000,maturity+rate,,,True,https://www.sec.gov/Archives/edgar/data/1083301/000110465925099020/tm2528632d1_8k.htm,EDGAR filing body: locate the notes/indenture maturity+coupon,
coverage_gap,Alphabet Inc.,edgar:0001652044:000119312526215570:lease:0edaebfd9609,75600000000,maturity+rate,,,True,https://www.sec.gov/Archives/edgar/data/1652044/000119312526215570/d137872d424b5.htm,424B/FWP prospectus notes table (coupon+maturity per tranche),LEASE/over-count -- exclude (not committed debt; Alphabet-lease class already $0 metric)
coverage_gap,Alphabet Inc.,edgar:0001652044:000119312526205120:lease:f0b06887b68d,75600000000,maturity+rate,,,True,https://www.sec.gov/Archives/edgar/data/1652044/000119312526205120/d325417d424b5.htm,424B/FWP prospectus notes table (coupon+maturity per tranche),LEASE/over-count -- exclude (not committed debt; Alphabet-lease class already $0 metric)
coverage_gap,Alphabet Inc.,edgar:0001652044:000119312526204938:lease:a86eadc30395,75600000000,maturity+rate,,,True,https://www.sec.gov/Archives/edgar/data/1652044/000119312526204938/d152073d424b5.htm,424B/FWP prospectus notes table (coupon+maturity per tranche),LEASE/over-count -- exclude (not committed debt; Alphabet-lease class already $0 metric)
coverage_gap,Alphabet Inc.,edgar:0001652044:000119312526041936:lease:3047b8bf6486,58475000000,maturity+rate,,,True,https://www.sec.gov/Archives/edgar/data/1652044/000119312526041936/d108033d424b5.htm,424B/FWP prospectus notes table (coupon+maturity per tranche),LEASE/over-count -- exclude (not committed debt; Alphabet-lease class already $0 metric)
coverage_gap,Alphabet Inc.,edgar:0001652044:000119312525261740:lease:d9326d9d5a9a,42600000000,maturity+rate,,,True,https://www.sec.gov/Archives/edgar/data/1652044/000119312525261740/d64361d424b5.htm,424B/FWP prospectus notes table (coupon+maturity per tranche),LEASE/over-count -- exclude (not committed debt; Alphabet-lease class already $0 metric)
coverage_gap,Alphabet Inc.,edgar:0001652044:000119312525261546:lease:e9baa6c90fde,42600000000,maturity+rate,,,True,https://www.sec.gov/Archives/edgar/data/1652044/000119312525261546/d65573d424b5.htm,424B/FWP prospectus notes table (coupon+maturity per tranche),LEASE/over-count -- exclude (not committed debt; Alphabet-lease class already $0 metric)
coverage_gap,TERAWULF INC.,edgar:0001083301:000110465925079463:lease:98e488001fd6,16000000000,maturity+rate,,,True,https://www.sec.gov/Archives/edgar/data/1083301/000110465925079463/tm2523651d3_ex99-1.htm,EDGAR filing body: locate the notes/indenture maturity+coupon,LEASE/over-count -- exclude (not committed debt; Alphabet-lease class already $0 metric)
coverage_gap,TERAWULF INC.,edgar:0001083301:000108330126000077:lease:8216068aa13c,12800000000,rate,2025-12-31,,True,https://www.sec.gov/Archives/edgar/data/1083301/000108330126000077/wulf-20260428.htm,EDGAR filing body: locate the notes/indenture maturity+coupon,LEASE/over-count -- exclude (not committed debt; Alphabet-lease class already $0 metric)
coverage_gap,Applied Digital Corp.,edgar:0001144879:000149315225017609:lease:cf9fc062f044,5000000000,maturity+rate,,,True,https://www.sec.gov/Archives/edgar/data/1144879/000149315225017609/ex99-1.htm,EDGAR filing body: locate the notes/indenture maturity+coupon,LEASE/over-count -- exclude (not committed debt; Alphabet-lease class already $0 metric)
entity_risk,Hut 8 Corp.,16 distinct obligations,32912000000,rate on $26.1B (9 obligs),,wall_2024_2030=$27.2B,False,(per-obligation; see entity filings),entity-level: prioritize the missing-rate obligations in this issuer's 424B/indenture filings,
entity_risk,"DIGITAL REALTY TRUST, INC.",11 distinct obligations,32250000000,rate on $3.0B (2 obligs),,wall_2024_2030=$4.0B,False,(per-obligation; see entity filings),entity-level: prioritize the missing-rate obligations in this issuer's 424B/indenture filings,
entity_risk,"CLEANSPARK, INC.",42 distinct obligations,22485996139,rate on $22.3B (39 obligs),,wall_2024_2030=$3.3B,False,(per-obligation; see entity filings),entity-level: prioritize the missing-rate obligations in this issuer's 424B/indenture filings,
entity_risk,"MARA Holdings, Inc.",21 distinct obligations,19354900000,rate on $16.0B (15 obligs),,wall_2024_2030=$10.5B,False,(per-obligation; see entity filings),entity-level: prioritize the missing-rate obligations in this issuer's 424B/indenture filings,
entity_risk,"Prologis, Inc.",34 distinct obligations,16487496900,rate on $2.8B (4 obligs),,wall_2024_2030=$11.3B,False,(per-obligation; see entity filings),entity-level: prioritize the missing-rate obligations in this issuer's 424B/indenture filings,
coverage_gap,Hut 8 Corp.,edgar:0001964789:000110465926049711:debt_facility:a7ff1a911ac9,14000000000,rate,2026-12-03,,False,https://www.sec.gov/Archives/edgar/data/1964789/000110465926049711/hut-20260611xdef14a.htm,EDGAR filing body: locate the notes/indenture maturity+coupon,
entity_risk,"Bit Digital, Inc",19 distinct obligations,5840500000,rate on $5.0B (11 obligs),,wall_2024_2030=$3.7B,False,(per-obligation; see entity filings),entity-level: prioritize the missing-rate obligations in this issuer's 424B/indenture filings,
entity_risk,Cerebras Systems Inc.,2 distinct obligations,5075000000,rate on $5.1B (2 obligs),,wall_2024_2030=$0.0B,False,(per-obligation; see entity filings),entity-level: prioritize the missing-rate obligations in this issuer's 424B/indenture filings,
entity_risk,IRON MOUNTAIN INC,8 distinct obligations,5033916127,rate on $1.3B (4 obligs),,wall_2024_2030=$2.9B,False,(per-obligation; see entity filings),entity-level: prioritize the missing-rate obligations in this issuer's 424B/indenture filings,
coverage_gap,Cerebras Systems Inc.,edgar:0002021728:000162828024041596:bond:db0d8d230523,5000000000,maturity+rate,,,False,https://www.sec.gov/Archives/edgar/data/2021728/000162828024041596/exhibit1015a-sx1.htm,EDGAR filing body: locate the notes/indenture maturity+coupon,
coverage_gap,Cerebras Systems Inc.,edgar:0002021728:000162828024041596:bond:7f8224341cf7,5000000000,maturity+rate,,,False,https://www.sec.gov/Archives/edgar/data/2021728/000162828024041596/exhibit1015b-sx1.htm,EDGAR filing body: locate the notes/indenture maturity+coupon,
entity_risk,"Riot Platforms, Inc.",13 distinct obligations,4897700000,rate on $3.8B (11 obligs),,wall_2024_2030=$3.7B,False,(per-obligation; see entity filings),entity-level: prioritize the missing-rate obligations in this issuer's 424B/indenture filings,
coverage_gap,"MARA Holdings, Inc.",edgar:0001507605:000149315225008402:bond:e4913a3bfb20,4600000000,rate,2024-12-31,,False,https://www.sec.gov/Archives/edgar/data/1507605/000149315225008402/ex99-1.htm,EDGAR filing body: locate the notes/indenture maturity+coupon,
entity_risk,"WhiteFiber, Inc.",29 distinct obligations,3497275900,rate on $1.7B (17 obligs),,wall_2024_2030=$0.1B,False,(per-obligation; see entity filings),entity-level: prioritize the missing-rate obligations in this issuer's 424B/indenture filings,
coverage_gap,Hut 8 Corp.,edgar:0001964789:000110465926053247:debt_facility:f06a8369b7eb,3250000000,rate,2026-04-30,,False,https://www.sec.gov/Archives/edgar/data/1964789/000110465926053247/tm2613163d1_ex4-1.htm,424B/FWP prospectus notes table (coupon+maturity per tranche),
coverage_gap,Hut 8 Corp.,edgar:0001964789:000110465926049810:bond:cec50145eb05,3250000000,rate,2026-04-30,,False,https://www.sec.gov/Archives/edgar/data/1964789/000110465926049810/tm2612880d1_8k.htm,EDGAR filing body: locate the notes/indenture maturity+coupon,
coverage_gap,Hut 8 Corp.,edgar:0001964789:000110465926049090:bond:d76955d3f137,3248000000,maturity+rate,,,False,https://www.sec.gov/Archives/edgar/data/1964789/000110465926049090/tm2612485d1_8k.htm,EDGAR filing body: locate the notes/indenture maturity+coupon,
entity_risk,"Hyperscale Data, Inc.",37 distinct obligations,783492214,rate on $0.1B (7 obligs),,wall_2024_2030=$0.7B,False,(per-obligation; see entity filings),entity-level: prioritize the missing-rate obligations in this issuer's 424B/indenture filings,
entity_risk,XAI Octagon Floating Rate & Alternative ,3 distinct obligations,673000000,rate on $0.1B (1 obligs),,wall_2024_2030=$0.0B,False,(per-obligation; see entity filings),entity-level: prioritize the missing-rate obligations in this issuer's 424B/indenture filings,
entity_risk,Greenidge Generation Holdings Inc.,1 distinct obligations,18000000,rate on $0.0B (1 obligs),,wall_2024_2030=$0.0B,False,(per-obligation; see entity filings),entity-level: prioritize the missing-rate obligations in this issuer's 424B/indenture filings,
