entity,facility,field,value,source_tier,filing_accession,source_quote
TeraWulf,WULF Compute Notes 2030,recourse,Guarantors party to indenture (collateral specifics in indenture; trustee Wilmington Trust),primary_EDGAR_partial,0001104659-25-101866,"WULF Compute and the Guarantors entered into an indenture ... with Wilmington Trust, National Association, as trustee"
TeraWulf,Flash Compute Notes 2030,issuer,Flash Compute LLC (sub of FS CS I LLC),primary_EDGAR,0001104659-25-124839,"Flash Compute is a wholly owned subsidiary of FS CS I LLC, a Delaware limited liability company"
TeraWulf,Flash Compute Notes 2030,jv_ownership,50.1% TeraWulf sub / 49.9% Fluidstack CS I,primary_EDGAR,0001104659-25-124839,"owned 50.1% by [TeraWulf subsidiary] Member and 49.9% by Fluidstack CS I Inc., a wholly-owned indirect subsidiary of Fluidstack Ltd"
TeraWulf,Flash Compute Notes 2030,coupon,7.250% semiannual (Jun 30 / Dec 31),primary_EDGAR,0001104659-25-124839,"senior secured obligations of Flash Compute and bear interest at a rate of 7.250% per year payable semi-annually in arrears on June 30 and December 31"
TeraWulf,Flash Compute Notes 2030,guarantor,Abernathy Data LLC,primary_EDGAR,0001104659-25-124839,"among Flash Compute, Abernathy Data LLC (the Guarantor), and Morgan Stanley"
TeraWulf,Flash Compute Notes 2030,credit_enhancement,$75M cash collateral securing Guarantor LC,primary_EDGAR,0001104659-25-124839,"to fund $75 million of cash collateral to secure the Guarantor's obligations under a certain letter of credit"
TeraWulf,Flash Compute Notes 2030,terawulf_effective_share_usd,651000000,derived,0001104659-25-124839,"50.1% of $1.3B JV notes"
Hut 8,Hut 8 DC Notes 2042,issuer,Hut 8 DC LLC (indirect wholly-owned subsidiary),primary_EDGAR,0001104659-26-053247,"Hut 8 DC LLC (Issuer), an indirect wholly-owned subsidiary of Hut 8 Corp."
Hut 8,Hut 8 DC Notes 2042,security,senior secured obligations of the Issuer; collateral agent appointed,primary_EDGAR,0001104659-26-053247,"The Notes are senior secured obligations of the Issuer"
Hut 8,Hut 8 DC Notes 2042,coupon,6.192% semiannual (May 15 / Nov 15),primary_EDGAR,0001104659-26-053247,"bear interest at a rate of 6.192% per annum, payable semi-annually in arrears on May 15 and November 15"
Hut 8,Hut 8 DC Notes 2042,covenants,restrictions on additional indebtedness/restricted payments,primary_EDGAR,0001104659-26-053247,"incur or guarantee certain additional indebtedness; (ii) pay dividends ... and make other restricted pa[yments]"
CleanSpark,Nov2025 Conv Notes 2032,security,senior unsecured; NOT guaranteed by any subsidiary,primary_EDGAR,0001193125-25-280105,"The notes are senior unsecured obligations of the Company and are not guaranteed by any of the Company's subsidiaries"
CleanSpark,Nov2025 Conv Notes 2032,recourse,CleanSpark Inc parent (structurally subordinated to subsidiary debt),primary_EDGAR,0001193125-25-280105,"senior unsecured obligations of the Company and are not guaranteed by any of the Company's subsidiaries"
MARA Holdings,2031 Zero-Coupon Conv,security,senior unsecured obligations of the Company,primary_EDGAR,0001493152-24-048704,"The notes are senior unsecured obligations of the Company. The notes will not bear regular interest and the principal amount of the notes will not accrete"
MARA Holdings,2031 Zero-Coupon Conv,facility_size_usd,850000000,primary_EDGAR,0001493152-24-048704,"aggregate principal amount of notes sold in the offering was $850 million (+$150M option)"
Nebius,Conv Notes 2030+2032,tranches,1.00% due 2030 + 2.75% due 2032 (indenture 2025-09-15),primary_EDGAR,0001104659-25-089969,"Indenture dated as of September 15 ... for the 1.00% Convertible Senior Notes due 2030 ... 2.75% Convertible Senior Notes due 2032"
Nebius,Conv Notes 2030+2032,security,senior convertible (unsecured per parent-level structure; explicit ranking in press release),primary_EDGAR_partial,0001104659-25-089969,"Convertible Senior Notes due 2030 ... Convertible Senior Notes due 2032"
